,name,params,length,output_type_mat,parse_time,states,trans,precomp_time_mat,prob,sample_time,output_type_add,parsetime,vars_per_state,add_size,precomp_time_add,trace_time,setup_time,sample_time_sim
49,brp,N_16_MAX_5,96,ok,19.000033,1304,1731,,2.2265421797624e-10,20.422401,segfault,,,,,,,
50,brp,N_16_MAX_5,127,ok,19.945545,1304,1731,,3.175596804646168e-17,27.654283,,,,,,,,
51,brp,N_16_MAX_5,128,ok,19.332406,1304,1731,287.184385,3.5269171887896026e-14,30.355107,segfault,,,,,,23.908343,5674774312143328.0
52,brp,N_32_MAX_2,8,ok,22.997364,1349,1731,290.630068,8.000000000000001e-06,1.933621,ok,129.966377,33,1437,668.09974,2.736136,24.434352,1730513.6024999998
53,brp,N_32_MAX_2,12,,,1349,,,,,ok,130.230054,33,1437,671.542465,4.325013,,
54,brp,N_32_MAX_2,15,ok,19.596591,1349,1731,,7.7616e-06,3.130209,,,,,,,,
55,brp,N_32_MAX_2,16,ok,20.392072,1349,1731,105.643545,9.41192e-07,3.832164,segfault,,,,,,23.365792,27476168.666966997
56,brp,N_32_MAX_2,24,,,1349,,,,,ok,130.024905,33,1437,2628.372365,9.104527,,
57,brp,N_32_MAX_2,31,ok,20.368216,1349,1731,,2.3241680654485706e-07,6.683075,,,,,,,,
58,brp,N_32_MAX_2,32,ok,20.457505,1349,1731,104.820032,5.935165549404448e-06,7.071368,ok,129.264265,33,1458,10957.627103,12.73217,23.447134,8264130.762944216
59,brp,N_32_MAX_2,48,ok,20.121935,1349,1731,,1.0224757443365823e-05,10.46809,ok,127.905495,33,1433,11179.638163,19.721746,,
60,brp,N_32_MAX_2,63,ok,20.050261,1349,1731,,6.188122290269509e-06,13.562291,,,,,,,,
61,brp,N_32_MAX_2,64,ok,20.475918,1349,1731,119.918994,2.3499190658864e-06,14.209019,ok,128.627921,33,1408,47062.194642,28.934893,23.670083,41811702.20981126
62,brp,N_32_MAX_2,96,ok,20.274682,1349,1731,,8.835645696007822e-06,21.120018,ok,129.334245,33,1435,44187.390181,42.183254,,
63,brp,N_32_MAX_2,127,ok,20.070339,1349,1731,,1.219737653557074e-06,27.582674,,,,,,,,
64,brp,N_32_MAX_2,128,ok,19.631346,1349,1731,153.471556,6.368939964429695e-06,28.238892,ok,129.790086,33,1441,117500.223351,56.065339,23.676679,31006821.3914595
65,brp,N_32_MAX_3,8,numeric,,1766,,,,,ok,144.627065,33,1434,1198.005299,,25.422043,
66,brp,N_32_MAX_3,12,,,1766,,,,,ok,144.913386,33,1428,1267.825847,,,
67,brp,N_32_MAX_3,15,numeric,,1766,,,,,,,,,,,,
68,brp,N_32_MAX_3,16,ok,25.827868,1766,2307,129.460133,2.30496e-07,3.571949,ok,143.740687,33,1434,2489.342593,5.759245,24.735682,112650132.8439539
69,brp,N_32_MAX_3,24,,,1766,,,,,ok,143.636329,33,1437,2494.613314,9.504708,,
70,brp,N_32_MAX_3,31,ok,25.793653,1766,2307,,8.817630928356097e-09,6.738287,,,,,,,,
71,brp,N_32_MAX_3,32,ok,52.475051,1766,2307,269.457758,3.0279090465620857e-07,7.504988,ok,144.822088,33,1424,9948.52085,13.089851,25.28391,179518057.92091665
72,brp,N_32_MAX_3,48,ok,26.804568,1766,2307,,1.0027278247609445e-07,10.455591,ok,147.117105,33,1438,10265.026114,20.669142,,
73,brp,N_32_MAX_3,63,ok,25.526022,1766,2307,,1.1727576238515576e-08,13.284664,,,,,,,,
74,brp,N_32_MAX_3,64,ok,26.215865,1766,2307,184.96477,2.2942044049565314e-07,14.107988,ok,142.263947,33,1432,40410.131959,26.651065,24.89982,418695922.48394275
75,brp,N_32_MAX_3,96,ok,26.034865,1766,2307,,1.3116456021665466e-07,20.787463,ok,141.863271,33,1431,40869.432783,42.515376,,
76,brp,N_32_MAX_3,127,ok,31.644968,1766,2307,,3.7127634195846924e-08,27.615375,,,,,,,,
77,brp,N_32_MAX_3,128,ok,26.497613,1766,2307,318.078455,2.4718842989872975e-07,29.68358,segfault,,,,,,24.737325,801652918.9945647
78,brp,N_32_MAX_4,8,numeric,,2183,,,,,segfault,,,,,,26.86056,
79,brp,N_32_MAX_4,12,,,2183,,,,,segfault,,,,,,,
80,brp,N_32_MAX_4,15,numeric,,2183,,,,,,,,,,,,
81,brp,N_32_MAX_4,16,ok,32.185421,2183,2883,161.788451,7.84e-09,3.635924,segfault,,,,,,26.482913,3254335293.3673472
82,brp,N_32_MAX_4,24,,,2183,,,,,segfault,,,,,,,
83,brp,N_32_MAX_4,31,ok,32.123024,2183,2883,,2.9260027812224567e-09,6.388561,,,,,,,,
84,brp,N_32_MAX_4,32,ok,31.805569,2183,2883,173.609552,3.9997067531878195e-09,6.952601,segfault,,,,,,26.184277,12851197993.211054
85,brp,N_32_MAX_4,48,ok,32.365398,2183,2883,,7.605363209558781e-09,10.16714,segfault,,,,,,,
86,brp,N_32_MAX_4,63,ok,32.031242,2183,2883,,4.1157729513000677e-10,13.466495,,,,,,,,
87,brp,N_32_MAX_4,64,ok,31.789128,2183,2883,276.072714,7.920664248495972e-09,15.211575,segfault,,,,,,26.37453,12489690708.551981
88,brp,N_32_MAX_4,96,ok,31.423112,2183,2883,,7.428557947530385e-09,20.634288,segfault,,,,,,,
89,brp,N_32_MAX_4,127,ok,32.222711,2183,2883,,1.9466067259485247e-09,27.405711,,,,,,,,
90,brp,N_32_MAX_4,128,ok,33.012801,2183,2883,575.137115,5.366776302680323e-09,30.64035,segfault,,,,,,26.519836,41050076739.731544
91,brp,N_32_MAX_5,8,numeric,,2600,,,,,ok,119.412466,34,1522,1708.80187,,31.756261,
92,brp,N_32_MAX_5,12,,,2600,,,,,segfault,,,,,,,
93,brp,N_32_MAX_5,15,numeric,,2600,,,,,,,,,,,,
94,brp,N_32_MAX_5,16,numeric,,2600,,,,,segfault,,,,,,27.774599,
95,brp,N_32_MAX_5,24,,,2600,,,,,segfault,,,,,,,
96,brp,N_32_MAX_5,31,ok,37.037122,2600,3459,,1.2534201133977604e-12,6.474053,,,,,,,,
97,brp,N_32_MAX_5,32,ok,37.542659,2600,3459,214.139449,2.3724471484353017e-10,7.074367,segfault,,,,,,27.89031,211314522951.8152
98,brp,N_32_MAX_5,48,ok,37.940885,2600,3459,,2.3155572147302078e-10,10.277089,segfault,,,,,,,
99,brp,N_32_MAX_5,63,ok,38.075278,2600,3459,,5.085004933257545e-11,13.511086,,,,,,,,
100,brp,N_32_MAX_5,64,ok,38.430463,2600,3459,386.7679,1.6674280947617704e-10,15.453146,segfault,,,,,,27.529394,611003174170.1936
101,brp,N_32_MAX_5,96,ok,37.182033,2600,3459,,2.2265421797624e-10,20.420806,segfault,,,,,,,
102,brp,N_32_MAX_5,127,ok,36.510345,2600,3459,,9.367116482984302e-12,27.249417,,,,,,,,
103,brp,N_32_MAX_5,128,ok,37.69814,2600,3459,1041.666903,2.2581033969938166e-10,29.846935,ok,117.082963,34,1522,178756.520626,58.346557,31.52417,877949503215.5204
104,brp,N_64_MAX_2,8,ok,40.737746,2693,3459,595.593103,8.000000000000001e-06,1.941049,segfault,,,,,,28.011401,1683478.2847724997
105,brp,N_64_MAX_2,12,,,2693,,,,,segfault,,,,,,,
106,brp,N_64_MAX_2,15,ok,38.542844,2693,3459,,7.7616e-06,3.097952,,,,,,,,
107,brp,N_64_MAX_2,16,ok,38.477762,2693,3459,213.759998,9.41192e-07,3.850554,segfault,,,,,,29.687262,27006576.383989666
108,brp,N_64_MAX_2,24,,,2693,,,,,segfault,,,,,,,
109,brp,N_64_MAX_2,31,ok,77.025034,2693,3459,,2.3241680654485706e-07,7.212446,,,,,,,,
110,brp,N_64_MAX_2,32,ok,37.841019,2693,3459,206.571037,5.935165549404448e-06,6.755674,segfault,,,,,,27.532262,8423941.012903487
111,brp,N_64_MAX_2,48,ok,36.9185,2693,3459,,1.0224757443365823e-05,10.220083,segfault,,,,,,,
112,brp,N_64_MAX_2,63,ok,38.267608,2693,3459,,6.188122290269509e-06,13.32162,,,,,,,,
113,brp,N_64_MAX_2,64,ok,37.351,2693,3459,234.187546,2.3499190658864e-06,13.516034,segfault,,,,,,27.687287,41085476.313449904
114,brp,N_64_MAX_2,96,ok,37.472267,2693,3459,,8.835645696007822e-06,20.196349,segfault,,,,,,,
115,brp,N_64_MAX_2,127,ok,38.374238,2693,3459,,1.219737653557074e-06,26.628854,,,,,,,,
116,brp,N_64_MAX_2,128,ok,76.031933,2693,3459,478.553101,6.368939964429695e-06,28.967035,segfault,,,,,,27.870158,30922100.726495862
117,brp,N_64_MAX_3,8,numeric,,3526,,,,,ok,148.455409,34,1446,1216.94369,,30.842683,
118,brp,N_64_MAX_3,12,,,3526,,,,,ok,147.697309,34,1445,1219.783994,,,
119,brp,N_64_MAX_3,15,numeric,,3526,,,,,,,,,,,,
120,brp,N_64_MAX_3,16,ok,51.109011,3526,4611,266.692827,2.30496e-07,3.760437,segfault,,,,,,32.208968,110400890.99160072
121,brp,N_64_MAX_3,24,,,3526,,,,,ok,144.82126,34,1441,2532.123578,9.643423,,
122,brp,N_64_MAX_3,31,ok,50.695195,3526,4611,,8.817630928356097e-09,6.536274,,,,,,,,
123,brp,N_64_MAX_3,32,ok,49.565719,3526,4611,280.584829,3.0279090465620857e-07,6.895253,segfault,,,,,,31.07343,179314335.05787346
124,brp,N_64_MAX_3,48,ok,49.276096,3526,4611,,1.0027278247609445e-07,10.032779,ok,145.486501,34,1444,9778.581385,20.664767,,
125,brp,N_64_MAX_3,63,ok,48.902536,3526,4611,,1.1727576238515576e-08,13.248871,,,,,,,,
126,brp,N_64_MAX_3,64,ok,102.812255,3526,4611,628.86802,2.2942044049565314e-07,15.144833,ok,148.020831,34,1445,36716.967805,26.493227,33.234998,420504423.0652494
