name,params,length,output_type,parse_time,states,trans,precomp_time,newmat,prob,sample_time
brp,N_32_MAX_2,96,ok,17.827324,1349,1731,-1,-1,8.835645696007822e-06,25.387778
brp,N_32_MAX_2,128,ok,18.050786,1349,1731,163.567577,6,6.368939964429695e-06,41.869766
brp,N_32_MAX_3,8,ok,25.567577,1766,2307,399.790908,2,0.0,-1
brp,N_32_MAX_3,12,numeric,-1,-1,-1,-1,-1,-1,-1
brp,N_32_MAX_3,16,ok,23.365676,1766,2307,141.041214,3,2.30496e-07,15.265375
brp,N_32_MAX_3,24,ok,24.580105,1766,2307,-1,-1,8.062750079999999e-08,6.455823
brp,N_32_MAX_3,32,ok,24.963724,1766,2307,155.487891,4,3.0279090465620857e-07,19.707805
brp,N_32_MAX_3,48,ok,24.127682,1766,2307,-1,-1,1.0027278247609443e-07,12.838187
brp,N_32_MAX_3,64,ok,24.241051,1766,2307,188.929282,5,2.2942044049565312e-07,28.105492
brp,N_32_MAX_3,96,ok,23.875395,1766,2307,-1,-1,1.3116456021665463e-07,26.494226
brp,N_32_MAX_3,128,ok,23.532502,1766,2307,306.310703,6,2.4718842989872975e-07,44.529800
brp,N_32_MAX_4,8,ok,31.334829,2183,2883,530.263788,2,0.0,-1
brp,N_32_MAX_4,12,ok,28.483991,2183,2883,-1,-1,3.2000000000000005e-09,3.155904
brp,N_32_MAX_4,16,ok,30.044999,2183,2883,176.977676,3,7.84e-09,20.178995
brp,N_32_MAX_4,24,ok,29.622476,2183,2883,-1,-1,7.696760079679998e-09,6.466449
brp,N_32_MAX_4,32,ok,30.610482,2183,2883,189.708398,4,3.9997067531878195e-09,24.100309
brp,N_32_MAX_4,48,ok,29.788797,2183,2883,-1,-1,7.605363209558781e-09,12.847164
brp,N_32_MAX_4,64,ok,29.401906,2183,2883,276.716192,5,7.920664248495972e-09,33.203129
brp,N_32_MAX_4,96,ok,30.821173,2183,2883,-1,-1,7.4285579475303865e-09,27.709816
brp,N_32_MAX_4,128,ok,29.734189,2183,2883,580.005436,6,5.366776302680323e-09,52.875903
brp,N_32_MAX_5,8,ok,38.010329,2600,3459,631.851776,2,0.0,-1
brp,N_32_MAX_5,12,numeric,-1,-1,-1,-1,-1,-1,-1
brp,N_32_MAX_5,16,ok,43.139092,2600,3459,221.285374,3,0.0,-1
brp,N_32_MAX_5,24,ok,38.164288,2600,3459,-1,-1,2.378949216e-10,6.387196
brp,N_32_MAX_5,32,ok,34.438882,2600,3459,245.421810,4,2.372447148435302e-10,29.799254
brp,N_32_MAX_5,48,ok,36.102951,2600,3459,-1,-1,2.3155572147302078e-10,13.155052
brp,N_32_MAX_5,64,ok,35.550789,2600,3459,402.265101,5,1.6674280947617704e-10,39.177873
brp,N_32_MAX_5,96,ok,34.959632,2600,3459,-1,-1,2.2265421797624e-10,26.920716
brp,N_32_MAX_5,128,ok,36.900158,2600,3459,970.647568,6,2.2581033969938171e-10,56.469069
brp,N_64_MAX_2,8,ok,36.862349,2693,3459,625.952822,2,8.000000000000001e-06,33.175378
brp,N_64_MAX_2,12,ok,35.170308,2693,3459,-1,-1,1.176e-05,3.105598
brp,N_64_MAX_2,16,ok,34.743654,2693,3459,221.906774,3,9.41192e-07,35.615691
brp,N_64_MAX_2,24,ok,34.643864,2693,3459,-1,-1,1.1149307725248e-05,6.384189
brp,N_64_MAX_2,32,ok,34.985125,2693,3459,223.420188,4,5.935165549404448e-06,39.962543
brp,N_64_MAX_2,48,ok,39.959161,2693,3459,-1,-1,1.0224757443365825e-05,13.729796
brp,N_64_MAX_2,64,ok,35.292741,2693,3459,247.609590,5,2.3499190658864e-06,48.074784
brp,N_64_MAX_2,96,ok,35.956652,2693,3459,-1,-1,8.835645696007822e-06,25.305336
brp,N_64_MAX_2,128,ok,34.600885,2693,3459,354.036622,6,6.368939964429695e-06,65.022787
brp,N_64_MAX_3,8,ok,48.857024,3526,4611,849.103813,2,0.0,-1
brp,N_64_MAX_3,12,numeric,-1,-1,-1,-1,-1,-1,-1
brp,N_64_MAX_3,16,ok,51.176386,3526,4611,309.271002,3,2.30496e-07,56.190129
brp,N_64_MAX_3,24,ok,52.156097,3526,4611,-1,-1,8.062750079999999e-08,6.587229
brp,N_64_MAX_3,32,ok,46.960240,3526,4611,303.868833,4,3.0279090465620857e-07,56.773976
brp,N_64_MAX_3,48,ok,46.168151,3526,4611,-1,-1,1.0027278247609443e-07,12.679310
brp,N_64_MAX_3,64,ok,46.901071,3526,4611,392.784400,5,2.2942044049565312e-07,65.226730
brp,N_64_MAX_3,96,ok,45.954309,3526,4611,-1,-1,1.3116456021665463e-07,24.949102
brp,N_64_MAX_3,128,ok,54.318788,3526,4611,776.568014,6,2.4718842989872975e-07,85.677271
brp,N_64_MAX_4,8,ok,61.068860,4359,5763,1067.463526,2,0.0,-1
brp,N_64_MAX_4,12,ok,60.507160,4359,5763,-1,-1,3.2000000000000005e-09,3.259912
brp,N_64_MAX_4,16,ok,57.537336,4359,5763,370.741623,3,7.84e-09,74.873907
brp,N_64_MAX_4,24,ok,60.336423,4359,5763,-1,-1,7.696760079679998e-09,6.510458
brp,N_64_MAX_4,32,ok,57.094283,4359,5763,388.767728,4,3.9997067531878195e-09,75.775534
brp,N_64_MAX_4,48,ok,58.684023,4359,5763,-1,-1,7.605363209558781e-09,12.630470
brp,N_64_MAX_4,64,ok,59.599536,4359,5763,586.227592,5,7.920664248495972e-09,84.662258
brp,N_64_MAX_4,96,ok,60.633303,4359,5763,-1,-1,7.4285579475303865e-09,27.403559
brp,N_64_MAX_4,128,ok,60.581872,4359,5763,1358.659817,6,5.366776302680323e-09,102.703441
brp,N_64_MAX_5,8,ok,78.256183,5192,6915,1293.038561,2,0.0,-1
brp,N_64_MAX_5,12,numeric,-1,-1,-1,-1,-1,-1,-1
brp,N_64_MAX_5,16,ok,70.778214,5192,6915,469.888064,3,0.0,-1
brp,N_64_MAX_5,24,ok,70.390275,5192,6915,-1,-1,2.378949216e-10,6.291193
brp,N_64_MAX_5,32,ok,73.423127,5192,6915,498.784837,4,2.372447148435302e-10,96.826777
brp,N_64_MAX_5,48,ok,71.427448,5192,6915,-1,-1,2.3155572147302078e-10,12.757452
brp,N_64_MAX_5,64,ok,70.578769,5192,6915,860.559007,5,1.6674280947617704e-10,106.189318
brp,N_64_MAX_5,96,ok,68.102695,5192,6915,-1,-1,2.2265421797624e-10,25.533933
brp,N_64_MAX_5,128,ok,69.779346,5192,6915,2322.868492,6,2.2581033969938171e-10,129.026161
crowds,5_5,8,ok,311.484572,8653,14953,2671.338547,2,0.0,-1
crowds,5_5,12,ok,307.801248,8653,14953,-1,-1,0.008281,2.585643
crowds,5_5,16,ok,158.937970,8653,14953,728.952792,3,0.01068977728,784.865523
crowds,5_5,24,ok,276.864420,8653,14953,-1,-1,0.026124970816090522,5.394412
crowds,5_5,32,ok,199.908545,8653,14953,1031.679237,4,0.041580326880435045,1638.385207
crowds,5_5,48,ok,266.550088,8653,14953,-1,-1,0.08156738850192194,13.728366
crowds,5_5,64,ok,192.788707,8653,14953,2296.076805,5,0.11514464337580466,2149.880577
crowds,5_5,96,ok,304.902204,8653,14953,-1,-1,0.14136042033878402,27.064332
