,name,params,length,parse_time,states,trans,precomp_time_mat,prob,sample_time,parsetime,vars_per_state,add_size,precomp_time_add,trace_time,setup_time,sample_time_sim
0,brp,N_16_MAX_2,8,11.875681,677,867,163.453854,8.000000000000001e-06,3.747657,174.794904,32,1391,879.94716,3.793735,180.805125,1732630.555
1,brp,N_16_MAX_2,16,8.648929,677,867,212.010521,9.41192e-07,5.927675,171.449256,32,1391,1691.098695,7.67525,21.702825,27750391.482290544
2,brp,N_16_MAX_2,32,8.351059,677,867,263.15746,5.935165549404448e-06,10.397758,171.024008,32,1413,6386.005846,17.224113,24.300373,8839656.515607132
3,brp,N_16_MAX_2,64,9.653475,677,867,324.717842,2.3499190658864e-06,20.441387,163.316292,32,1413,44786.771016,44.743577,21.748588,41106495.18627706
4,brp,N_16_MAX_2,128,9.144833,677,867,384.967636,7.981227818838935e-13,36.598466,174.467912,32,1402,49581.375366,,21.129938,252249491719543.22
5,brp,N_16_MAX_3,8,13.537911,886,1155,187.116479,0.0,,200.401463,32,1476,799.670149,,22.792639,inf
6,brp,N_16_MAX_3,16,11.098228,886,1155,251.86120599999998,2.30496e-07,6.700808,191.07534,32,1469,3086.127873,9.498006,22.629852,118853767.09357212
7,brp,N_16_MAX_3,32,13.328671,886,1155,329.93846399999995,3.0279090465620857e-07,12.132305,191.814842,32,1469,11225.46023,20.211773,22.240092,166501590.5191796
8,brp,N_16_MAX_3,64,10.554169,886,1155,412.89050399999996,2.2942044049565314e-07,20.028678,202.459031,32,1469,41648.51864,38.177778,22.430394,430100769.298582
9,brp,N_16_MAX_3,128,12.949606,886,1155,516.487994,4.1149001784028667e-13,39.344021,192.931767,32,1467,85878.16091,,22.352082,493246335197316.94
10,brp,N_16_MAX_4,8,19.275166,1095,1443,234.030086,0.0,,180.68782,33,1461,1146.213526,,22.863237,inf
11,brp,N_16_MAX_4,16,14.239846,1095,1443,320.73743,7.84e-09,7.679294,187.199932,33,1403,5007.727234,9.009218,22.625951,3344648940.0510206
12,brp,N_16_MAX_4,32,13.472553,1095,1443,415.89528800000005,3.9997067531878195e-09,12.810503,183.161874,33,1426,17450.327794,18.064367,22.780808,12831637311.684177
13,brp,N_16_MAX_4,64,14.912373,1095,1443,544.173843,7.920664248495972e-09,22.229974,,,,,,23.095015,12902649631.867168
14,brp,N_16_MAX_4,128,13.811095,1095,1443,707.6688630000001,1.3119592906398485e-13,39.602841,177.868954,33,1426,1043.882076,,23.765607,1544761279072605.0
15,brp,N_16_MAX_5,8,19.688835,1304,1731,272.634332,0.0,,,,,,,23.363328,inf
16,brp,N_16_MAX_5,16,17.636343,1304,1731,376.72800099999995,0.0,,,,,,,23.862719,inf
17,brp,N_16_MAX_5,32,15.708896,1304,1731,483.74592199999995,2.3724471484353017e-10,13.154046,,,,,,23.620196,227681389512.19745
