name,params,length,parse_time,states,trans,precomp_time,newmat,prob,sample_time
brp,N_64_MAX_5,64,61.307034,5192,6915,790.207493,5,1.6674280947617704e-10,99.530067
brp,N_64_MAX_5,128,65.684567,5192,6915,2217.856528,6,2.2581033969938171e-10,119.969590
herman,9,8,209.609906,512,19684,530.073317,2,0.6680428137903301,768.061102
herman,9,16,210.023942,512,19684,604.776267,3,0.8792506112895142,1285.849490
herman,9,32,211.427844,512,19684,612.200311,4,0.9835159288693683,1324.726625
herman,9,64,209.789631,512,19684,658.541261,5,0.99969227970679,1291.037109
herman,9,128,186.978373,512,19684,600.523151,6,0.9999998927639906,1267.419214
crowds,5_5,8,163.407095,8653,14953,2193.337644,2,0.0,-1
crowds,5_5,16,127.562357,8653,14953,745.060629,3,0.01068977728,769.644344
crowds,5_5,32,127.900956,8653,14953,841.720961,4,0.041580326880435045,777.471685
crowds,5_5,64,126.453311,8653,14953,1024.128750,5,0.11514464337580466,792.547952
crowds,5_5,128,127.334812,8653,14953,1050.649249,6,0.14538921683829678,808.984213
crowds,TotalRuns_3_CrowdSize_10,8,132.294563,6563,15143,1585.873782,2,0.0,-1
crowds,TotalRuns_3_CrowdSize_10,16,122.318005,6563,15143,548.153432,3,0.00948538864,117.916375
crowds,TotalRuns_3_CrowdSize_10,32,120.347713,6563,15143,621.161698,4,0.027631210504291827,123.439484
crowds,TotalRuns_3_CrowdSize_10,64,123.730503,6563,15143,659.693707,5,0.03613367313951898,133.460665
crowds,TotalRuns_3_CrowdSize_10,128,128.145994,6563,15143,643.555401,6,0.03678890083921648,151.003362
crowds,TotalRuns_3_CrowdSize_15,8,463.185927,19228,55948,5929.167475,2,0.0,-1
crowds,TotalRuns_3_CrowdSize_15,16,467.510734,19228,55948,2147.948525,3,0.009083925760040145,848.508886
crowds,TotalRuns_3_CrowdSize_15,32,452.457439,19228,55948,2597.984242,4,0.025089582604809556,852.597099
crowds,TotalRuns_3_CrowdSize_15,64,466.133055,19228,55948,2776.173899,5,0.031560267569293,864.483023
crowds,TotalRuns_3_CrowdSize_15,128,452.208287,19228,55948,2801.911523,6,0.03199438340148409,883.204800
crowds,TotalRuns_3_CrowdSize_20,8,1221.438023,42318,148578,23121.853618,2,0.0,-1
leader,sync3_2,8,5.049317,26,33,19.551045,2,0.9375,2.207362
leader,sync3_2,16,1.342422,26,33,2.527270,3,0.99609375,4.320067
leader,sync3_2,32,1.061692,26,33,2.533013,4,0.9999847412109375,8.610749
leader,sync3_2,64,1.084017,26,33,2.575212,5,0.9999999997671694,17.389539
leader,sync3_2,128,1.049973,26,33,2.626922,6,1.0,36.267446
leader,sync3_3,8,3.945500,69,95,20.110725,2,0.9876543210745674,2.162861
leader,sync3_3,16,2.069591,69,95,5.582416,3,0.9998475842996611,4.188670
leader,sync3_3,32,1.638535,69,95,6.229683,4,0.9999999768594263,8.692351
leader,sync3_3,64,1.637560,69,95,5.717466,5,1.000000000089999,16.555830
leader,sync3_3,128,1.583266,69,95,5.476162,6,1.0000000000899993,33.914890
leader,sync3_4,8,4.472562,147,210,31.806077,2,0.99609375,2.178605
leader,sync3_4,16,2.860123,147,210,11.178605,3,0.9999847412109375,4.354474
leader,sync3_4,32,2.698738,147,210,11.614007,4,0.9999999997671694,8.681788
leader,sync3_4,64,2.566952,147,210,10.953649,5,1.0,17.111935
